Epoch,Global_Step,Time,LR,VAE_Total_Loss,Rec_Loss(L1),P_Loss(LPIPS),KL_Loss,G_Loss(Adv),D_Weight,D_Loss(Disc),Logits_Real,Logits_Fake
1,1,2026-01-25 10:07:03,4.50e-06,1.071861,0.267454,0.792969,11438.189453,-0.061035,0.0000,0.000000,0.0000,0.0000
1,2,2026-01-25 10:07:05,4.50e-06,1.032299,0.257592,0.761719,12988.879883,-0.048828,0.0000,0.000000,0.0000,0.0000
1,3,2026-01-25 10:07:08,4.50e-06,1.077623,0.279204,0.785156,13262.876953,-0.070312,0.0000,0.000000,0.0000,0.0000
1,4,2026-01-25 10:07:11,4.50e-06,1.089321,0.270412,0.804688,14221.256836,-0.053711,0.0000,0.000000,0.0000,0.0000
1,5,2026-01-25 10:07:14,4.50e-06,1.017082,0.232906,0.765625,18551.869141,-0.047607,0.0000,0.000000,0.0000,0.0000
1,6,2026-01-25 10:07:17,4.50e-06,0.951670,0.200788,0.726562,24319.513672,-0.038330,0.0000,0.000000,0.0000,0.0000
1,7,2026-01-25 10:07:20,4.50e-06,1.043804,0.267555,0.757812,18437.091797,-0.057129,0.0000,0.000000,0.0000,0.0000
1,8,2026-01-25 10:07:23,4.50e-06,1.703162,0.187867,0.695312,819982.937500,-0.035156,0.0000,0.000000,0.0000,0.0000
1,9,2026-01-25 10:07:26,4.50e-06,0.908826,0.184270,0.687500,37055.480469,-0.059326,0.0000,0.000000,0.0000,0.0000
1,10,2026-01-25 10:07:29,4.50e-06,0.948079,0.185752,0.734375,27952.556641,-0.048584,0.0000,0.000000,0.0000,0.0000
1,11,2026-01-25 10:07:32,4.50e-06,1.037536,0.258224,0.753906,25405.332031,-0.019409,0.0000,0.000000,0.0000,0.0000
1,12,2026-01-25 10:07:35,4.50e-06,0.937631,0.202771,0.695312,39546.976562,-0.048096,0.0000,0.000000,0.0000,0.0000
1,13,2026-01-25 10:07:38,4.50e-06,1.186688,0.197313,0.667969,321406.500000,-0.086914,0.0000,0.000000,0.0000,0.0000
1,14,2026-01-25 10:07:41,4.50e-06,0.966690,0.167337,0.660156,139197.406250,-0.072266,0.0000,0.000000,0.0000,0.0000
1,15,2026-01-25 10:07:45,4.50e-06,0.951685,0.204860,0.718750,28075.283203,-0.053223,0.0000,0.000000,0.0000,0.0000
1,16,2026-01-25 10:07:48,4.50e-06,0.861550,0.145302,0.667969,48278.945312,-0.059570,0.0000,0.000000,0.0000,0.0000
1,17,2026-01-25 10:07:51,4.50e-06,0.855464,0.157294,0.664062,34107.562500,-0.029297,0.0000,0.000000,0.0000,0.0000
1,18,2026-01-25 10:07:54,4.50e-06,0.879455,0.177826,0.667969,33660.359375,-0.055908,0.0000,0.000000,0.0000,0.0000
1,19,2026-01-25 10:07:57,4.50e-06,0.844400,0.145882,0.656250,42268.015625,-0.041992,0.0000,0.000000,0.0000,0.0000
1,20,2026-01-25 10:08:00,4.50e-06,0.820011,0.154176,0.640625,25209.855469,-0.045654,0.0000,0.000000,0.0000,0.0000
1,21,2026-01-25 10:08:03,4.50e-06,0.862782,0.171911,0.660156,30715.701172,-0.046875,0.0000,0.000000,0.0000,0.0000
1,22,2026-01-25 10:08:06,4.50e-06,0.890523,0.182651,0.687500,20372.205078,-0.036133,0.0000,0.000000,0.0000,0.0000
1,23,2026-01-25 10:08:09,4.50e-06,0.829638,0.157024,0.644531,28082.337891,-0.048340,0.0000,0.000000,0.0000,0.0000
1,24,2026-01-25 10:08:12,4.50e-06,0.852770,0.172793,0.660156,19820.621094,-0.034424,0.0000,0.000000,0.0000,0.0000
1,25,2026-01-25 10:08:15,4.50e-06,0.805407,0.135364,0.648438,21604.648438,-0.025757,0.0000,0.000000,0.0000,0.0000
1,26,2026-01-25 10:08:18,4.50e-06,0.804102,0.141191,0.640625,22286.214844,-0.015076,0.0000,0.000000,0.0000,0.0000
1,27,2026-01-25 10:08:21,4.50e-06,0.795318,0.129926,0.628906,36486.496094,-0.060791,0.0000,0.000000,0.0000,0.0000
1,28,2026-01-25 10:08:24,4.50e-06,0.772218,0.139158,0.613281,19778.253906,-0.018311,0.0000,0.000000,0.0000,0.0000
1,29,2026-01-25 10:08:27,4.50e-06,0.810382,0.170314,0.621094,18973.968750,0.001518,0.0000,0.000000,0.0000,0.0000
1,30,2026-01-25 10:08:30,4.50e-06,0.860373,0.197687,0.644531,18154.804688,-0.007507,0.0000,0.000000,0.0000,0.0000
1,31,2026-01-25 10:08:33,4.50e-06,0.728100,0.127236,0.582031,18832.271484,-0.001045,0.0000,0.000000,0.0000,0.0000
1,32,2026-01-25 10:08:36,4.50e-06,0.740502,0.130691,0.593750,16061.406250,0.010315,0.0000,0.000000,0.0000,0.0000
1,33,2026-01-25 10:08:39,4.50e-06,0.806826,0.173808,0.617188,15830.251953,-0.006165,0.0000,0.000000,0.0000,0.0000
1,34,2026-01-25 10:08:42,4.50e-06,0.820451,0.182976,0.621094,16380.604492,-0.018188,0.0000,0.000000,0.0000,0.0000
1,35,2026-01-25 10:08:45,4.50e-06,0.792496,0.149647,0.628906,13942.128906,-0.006073,0.0000,0.000000,0.0000,0.0000
1,36,2026-01-25 10:08:48,4.50e-06,0.775741,0.150311,0.613281,12147.957031,0.008667,0.0000,0.000000,0.0000,0.0000
1,37,2026-01-25 10:08:51,4.50e-06,0.756931,0.141251,0.601562,14116.721680,-0.011841,0.0000,0.000000,0.0000,0.0000
1,38,2026-01-25 10:08:54,4.50e-06,0.750253,0.128087,0.609375,12790.458008,0.014038,0.0000,0.000000,0.0000,0.0000
1,39,2026-01-25 10:08:58,4.50e-06,0.739015,0.132247,0.593750,13018.230469,-0.010254,0.0000,0.000000,0.0000,0.0000
1,40,2026-01-25 10:09:01,4.50e-06,0.777996,0.176749,0.589844,11403.805664,-0.020020,0.0000,0.000000,0.0000,0.0000
1,41,2026-01-25 10:09:04,4.50e-06,0.822758,0.187682,0.625000,10076.269531,-0.021729,0.0000,0.000000,0.0000,0.0000
1,42,2026-01-25 10:09:07,4.50e-06,0.744172,0.128561,0.605469,10142.542969,-0.007996,0.0000,0.000000,0.0000,0.0000
1,43,2026-01-25 10:09:10,4.50e-06,0.796499,0.176166,0.609375,10958.615234,-0.000809,0.0000,0.000000,0.0000,0.0000
1,44,2026-01-25 10:09:13,4.50e-06,0.747101,0.146005,0.589844,11252.853516,-0.013672,0.0000,0.000000,0.0000,0.0000
1,45,2026-01-25 10:09:16,4.50e-06,0.774396,0.166590,0.597656,10149.689453,-0.005737,0.0000,0.000000,0.0000,0.0000
1,46,2026-01-25 10:09:19,4.50e-06,0.732867,0.152993,0.570312,9561.037109,-0.008850,0.0000,0.000000,0.0000,0.0000
1,47,2026-01-25 10:09:22,4.50e-06,0.744980,0.134200,0.601562,9216.915039,-0.017334,0.0000,0.000000,0.0000,0.0000
1,48,2026-01-25 10:09:25,4.50e-06,0.629178,0.092846,0.527344,8988.527344,-0.008667,0.0000,0.000000,0.0000,0.0000
1,49,2026-01-25 10:09:28,4.50e-06,0.788711,0.177834,0.601562,9314.480469,0.001419,0.0000,0.000000,0.0000,0.0000
1,50,2026-01-25 10:09:31,4.50e-06,0.753179,0.138921,0.605469,8789.677734,-0.021729,0.0000,0.000000,0.0000,0.0000
1,51,2026-01-25 10:09:34,4.50e-06,0.720284,0.129824,0.582031,8428.306641,-0.011658,0.0000,0.000000,0.0000,0.0000
1,52,2026-01-25 10:09:37,4.50e-06,0.764863,0.169833,0.585938,9092.204102,-0.019165,0.0000,0.000000,0.0000,0.0000
1,53,2026-01-25 10:09:40,4.50e-06,0.674456,0.111404,0.554688,8364.538086,-0.027466,0.0000,0.000000,0.0000,0.0000
1,54,2026-01-25 10:09:43,4.50e-06,0.738353,0.139728,0.589844,8781.234375,-0.013550,0.0000,0.000000,0.0000,0.0000
1,55,2026-01-25 10:09:46,4.50e-06,0.689907,0.107578,0.574219,8110.241211,0.013062,0.0000,0.000000,0.0000,0.0000
1,56,2026-01-25 10:09:49,4.50e-06,0.816091,0.199031,0.609375,7685.095703,0.021851,0.0000,0.000000,0.0000,0.0000
1,57,2026-01-25 10:09:52,4.50e-06,0.749676,0.156181,0.585938,7558.000000,-0.004059,0.0000,0.000000,0.0000,0.0000
1,58,2026-01-25 10:09:55,4.50e-06,0.742804,0.141445,0.593750,7608.588867,0.000162,0.0000,0.000000,0.0000,0.0000
1,59,2026-01-25 10:09:58,4.50e-06,0.746386,0.153256,0.585938,7192.518066,-0.005341,0.0000,0.000000,0.0000,0.0000
1,60,2026-01-25 10:10:01,4.50e-06,0.767220,0.142747,0.617188,7285.746094,-0.024048,0.0000,0.000000,0.0000,0.0000
1,61,2026-01-25 10:10:04,4.50e-06,0.700619,0.119024,0.574219,7376.333496,-0.014526,0.0000,0.000000,0.0000,0.0000
1,62,2026-01-25 10:10:08,4.50e-06,0.679845,0.110001,0.562500,7343.848145,-0.007782,0.0000,0.000000,0.0000,0.0000
1,63,2026-01-25 10:10:11,4.50e-06,0.755854,0.174689,0.574219,6946.082031,-0.024658,0.0000,0.000000,0.0000,0.0000
1,64,2026-01-25 10:10:14,4.50e-06,0.697573,0.104633,0.585938,7002.276367,-0.008850,0.0000,0.000000,0.0000,0.0000
1,65,2026-01-25 10:10:17,4.50e-06,0.802158,0.184971,0.609375,7811.976562,0.001053,0.0000,0.000000,0.0000,0.0000
1,66,2026-01-25 10:10:20,4.50e-06,0.735064,0.126504,0.601562,6997.660156,0.000778,0.0000,0.000000,0.0000,0.0000
1,67,2026-01-25 10:10:23,4.50e-06,0.760822,0.179884,0.574219,6719.395508,-0.001335,0.0000,0.000000,0.0000,0.0000
1,68,2026-01-25 10:10:26,4.50e-06,0.739670,0.144372,0.589844,5454.948242,0.013489,0.0000,0.000000,0.0000,0.0000
1,69,2026-01-25 10:10:29,4.50e-06,0.704744,0.140310,0.558594,5839.964355,0.011047,0.0000,0.000000,0.0000,0.0000
1,70,2026-01-25 10:10:32,4.50e-06,0.677053,0.107587,0.562500,6965.966309,-0.008057,0.0000,0.000000,0.0000,0.0000
1,71,2026-01-25 10:10:35,4.50e-06,0.730782,0.149329,0.574219,7233.747070,-0.038330,0.0000,0.000000,0.0000,0.0000
1,72,2026-01-25 10:10:38,4.50e-06,0.702796,0.137054,0.558594,7148.426270,-0.001541,0.0000,0.000000,0.0000,0.0000
1,73,2026-01-25 10:10:41,4.50e-06,0.750252,0.142446,0.601562,6243.048828,-0.005707,0.0000,0.000000,0.0000,0.0000
1,74,2026-01-25 10:10:44,4.50e-06,0.723403,0.128522,0.589844,5037.450684,-0.009827,0.0000,0.000000,0.0000,0.0000
1,75,2026-01-25 10:10:47,4.50e-06,0.654505,0.106173,0.542969,5364.053223,0.021973,0.0000,0.000000,0.0000,0.0000
1,76,2026-01-25 10:10:50,4.50e-06,0.713212,0.136723,0.570312,6176.475586,-0.020020,0.0000,0.000000,0.0000,0.0000
1,77,2026-01-25 10:10:53,4.50e-06,0.718200,0.141906,0.570312,5981.372070,-0.014465,0.0000,0.000000,0.0000,0.0000
