Epoch,Step,Total_Loss,Recon_Loss,VQ_Loss,Perplexity
1,1,1.593736,0.124173,1.469563,79.528259
1,2,1.483473,0.093431,1.390042,26.311371
1,3,1.387410,0.063143,1.324266,15.159374
1,4,1.269845,0.043058,1.226786,6.020461
1,5,1.174031,0.040632,1.133399,4.662601
1,6,1.015788,0.032578,0.983210,2.794548
1,7,0.919140,0.044890,0.874250,3.058178
1,8,0.772763,0.037546,0.735217,2.382682
1,9,0.678242,0.031960,0.646282,2.286434
1,10,0.565725,0.035222,0.530502,2.043700
1,11,0.521462,0.027910,0.493553,1.844048
1,12,0.454941,0.019637,0.435304,1.810665
1,13,0.426309,0.025612,0.400697,1.813875
1,14,0.404424,0.039885,0.364539,1.888776
1,15,0.367683,0.018988,0.348694,1.895382
1,16,0.324912,0.021051,0.303861,1.882533
1,17,0.324759,0.025546,0.299213,1.860483
1,18,0.333022,0.041970,0.291052,1.902560
1,19,0.288811,0.025165,0.263647,1.892326
1,20,0.263551,0.016780,0.246771,1.882235
1,21,0.271083,0.026160,0.244923,1.868147
1,22,0.260184,0.022514,0.237670,1.874385
1,23,0.240190,0.025939,0.214251,1.858412
1,24,0.243156,0.016357,0.226799,1.780207
1,25,0.222064,0.019732,0.202333,1.802741
1,26,0.219877,0.023103,0.196774,1.815183
1,27,0.219950,0.018958,0.200992,1.714146
1,28,0.207067,0.017991,0.189076,1.684616
1,29,0.213949,0.022807,0.191142,1.713565
1,30,0.195170,0.025116,0.170054,1.745620
1,31,0.207092,0.022628,0.184463,1.734609
1,32,0.216365,0.023697,0.192668,1.581357
1,33,0.202565,0.023482,0.179083,1.651447
1,34,0.224212,0.041657,0.182555,1.584054
1,35,0.211915,0.028735,0.183181,1.621433
1,36,0.249947,0.062052,0.187895,1.593585
1,37,0.184062,0.011308,0.172755,1.618123
1,38,0.193797,0.020763,0.173034,1.673316
1,39,0.186370,0.023257,0.163113,1.774127
1,40,0.187525,0.024225,0.163300,1.718221
1,41,0.186884,0.020104,0.166780,1.713927
1,42,0.198269,0.021855,0.176414,1.660538
1,43,0.173667,0.013130,0.160537,1.706167
1,44,0.210335,0.028417,0.181918,1.670087
1,45,0.188920,0.022990,0.165931,1.686757
1,46,0.198568,0.027119,0.171449,1.654288
1,47,0.202814,0.035045,0.167769,1.697318
1,48,0.182447,0.021115,0.161331,1.701726
1,49,0.175177,0.017527,0.157650,1.746680
1,50,0.170633,0.010106,0.160527,1.685023
1,51,0.195849,0.041510,0.154340,1.699918
1,52,0.175212,0.015074,0.160138,1.691246
1,53,0.157217,0.013542,0.143675,1.762033
1,54,0.164171,0.009004,0.155167,1.668095
1,55,0.165945,0.022523,0.143422,1.803194
1,56,0.172928,0.024439,0.148489,1.750309
1,57,0.171377,0.014879,0.156499,1.713275
1,58,0.166660,0.036329,0.130330,1.857222
1,59,0.171257,0.019273,0.151984,1.744315
1,60,0.186382,0.035459,0.150923,1.699843
1,61,0.172473,0.021838,0.150635,1.724511
1,62,0.167618,0.020684,0.146934,1.738193
1,63,0.192382,0.036708,0.155674,1.693025
1,64,0.153456,0.020323,0.133133,1.802169
1,65,0.159828,0.024860,0.134968,1.765268
1,66,0.158699,0.013551,0.145148,1.682571
