Epoch,Step,Total_Loss,Recon_Loss,VQ_Loss,Perplexity,LR
1,1,0.610524,0.159278,0.451245,39.532375,0.00000106
1,2,0.636886,0.167550,0.469337,39.336628,0.00000112
1,3,0.647939,0.186762,0.461177,27.579781,0.00000118
1,4,0.678486,0.159482,0.519004,33.823776,0.00000124
1,5,0.639869,0.143838,0.496031,35.649700,0.00000130
1,6,0.619272,0.170066,0.449206,38.191154,0.00000137
1,7,0.603119,0.162040,0.441079,37.235321,0.00000143
1,8,0.642396,0.156505,0.485891,26.338213,0.00000149
1,9,0.634619,0.152223,0.482395,55.081997,0.00000155
1,10,0.585863,0.162040,0.423824,21.626442,0.00000161
1,11,0.642779,0.161710,0.481069,35.915916,0.00000167
1,12,0.593747,0.164728,0.429019,41.667664,0.00000173
1,13,0.585725,0.170791,0.414934,33.087227,0.00000179
1,14,0.609509,0.155722,0.453787,40.616467,0.00000185
1,15,0.628084,0.167724,0.460361,39.638592,0.00000191
1,16,0.635350,0.139458,0.495892,29.152292,0.00000197
1,17,0.578151,0.168419,0.409731,26.529514,0.00000204
1,18,0.634096,0.157245,0.476851,38.712322,0.00000210
1,19,0.588193,0.156455,0.431738,34.669228,0.00000216
1,20,0.583535,0.146360,0.437175,27.556131,0.00000222
1,21,0.592072,0.155576,0.436496,26.172119,0.00000228
1,22,0.577583,0.153045,0.424538,35.096691,0.00000234
1,23,0.548959,0.151323,0.397636,30.032034,0.00000240
1,24,0.545882,0.168869,0.377012,31.435017,0.00000246
1,25,0.581830,0.159621,0.422208,22.322254,0.00000252
1,26,0.577047,0.128230,0.448817,43.652649,0.00000258
1,27,0.578792,0.133644,0.445149,31.399826,0.00000264
1,28,0.603999,0.126359,0.477639,38.900314,0.00000271
1,29,0.547567,0.112055,0.435512,45.358822,0.00000277
1,30,0.605504,0.128677,0.476826,31.689301,0.00000283
1,31,0.561704,0.123149,0.438555,33.378723,0.00000289
1,32,0.584806,0.144311,0.440496,19.657658,0.00000295
1,33,0.610829,0.137849,0.472981,30.218273,0.00000301
1,34,0.626627,0.139524,0.487103,25.799330,0.00000307
1,35,0.608860,0.127879,0.480981,31.802628,0.00000313
1,36,0.576587,0.113771,0.462816,36.073273,0.00000319
1,37,0.577735,0.105026,0.472709,26.186069,0.00000325
1,38,0.573022,0.122359,0.450663,24.559710,0.00000332
1,39,0.596322,0.112815,0.483508,35.286953,0.00000338
1,40,0.582879,0.110048,0.472831,21.084852,0.00000344
1,41,0.597310,0.114451,0.482859,29.031294,0.00000350
1,42,0.574880,0.100432,0.474448,23.701956,0.00000356
1,43,0.587067,0.097644,0.489423,27.585302,0.00000362
1,44,0.649290,0.103314,0.545976,28.798763,0.00000368
1,45,0.556717,0.097567,0.459150,27.166466,0.00000374
1,46,0.618892,0.101349,0.517542,38.825737,0.00000380
1,47,0.632859,0.092808,0.540051,21.190027,0.00000386
1,48,0.660882,0.110733,0.550149,26.332802,0.00000392
1,49,0.628016,0.079635,0.548382,31.316196,0.00000399
1,50,0.598879,0.081124,0.517755,36.458469,0.00000405
1,51,0.630655,0.092547,0.538108,39.355202,0.00000411
1,52,0.644083,0.078166,0.565916,26.107864,0.00000417
1,53,0.615514,0.096663,0.518851,29.068153,0.00000423
1,54,0.631513,0.084615,0.546899,35.863045,0.00000429
1,55,0.633161,0.073849,0.559312,22.431881,0.00000435
1,56,0.609395,0.064492,0.544903,34.132103,0.00000441
1,57,0.634300,0.084952,0.549349,27.458939,0.00000447
1,58,0.673326,0.090577,0.582748,26.865906,0.00000453
1,59,0.634454,0.064909,0.569544,21.305275,0.00000459
1,60,0.616826,0.073555,0.543271,35.965805,0.00000466
1,61,0.691656,0.082468,0.609188,32.670860,0.00000472
1,62,0.630032,0.063800,0.566232,36.534031,0.00000478
1,63,0.617277,0.059100,0.558177,35.579098,0.00000484
1,64,0.593223,0.060848,0.532375,31.063774,0.00000490
1,65,0.639357,0.077287,0.562070,23.756115,0.00000496
1,66,0.611166,0.051596,0.559570,29.388973,0.00000502
1,67,0.584232,0.068229,0.516004,35.204216,0.00000508
1,68,0.580379,0.054118,0.526261,35.759010,0.00000514
1,69,0.567960,0.050664,0.517296,35.320572,0.00000520
1,70,0.592867,0.058446,0.534421,41.434189,0.00000526
1,71,0.604578,0.057184,0.547394,37.026482,0.00000533
1,72,0.628215,0.059195,0.569019,33.168583,0.00000539
1,73,0.535129,0.040265,0.494863,34.705044,0.00000545
1,74,0.534791,0.041876,0.492915,24.986753,0.00000551
1,75,0.575657,0.059863,0.515794,28.436016,0.00000557
1,76,0.515404,0.036519,0.478885,16.612373,0.00000563
1,77,0.478581,0.031901,0.446680,19.303066,0.00000569
1,78,0.537443,0.040273,0.497170,29.083426,0.00000575
1,79,0.504713,0.036593,0.468120,27.666214,0.00000581
1,80,0.585263,0.056036,0.529226,27.652924,0.00000587
1,81,0.499494,0.026914,0.472579,27.026781,0.00000593
1,82,0.566060,0.041603,0.524457,28.770950,0.00000600
1,83,0.570809,0.034081,0.536729,21.351219,0.00000606
1,84,0.599972,0.043928,0.556045,22.237804,0.00000612
1,85,0.596582,0.051199,0.545383,25.264925,0.00000618
1,86,0.569631,0.042628,0.527004,17.814165,0.00000624
1,87,0.616500,0.042682,0.573818,19.284533,0.00000630
1,88,0.647812,0.054188,0.593624,22.590828,0.00000636
1,89,0.600987,0.040468,0.560519,20.792242,0.00000642
1,90,0.585598,0.033573,0.552025,20.827208,0.00000648
1,91,0.595021,0.032036,0.562986,20.714817,0.00000654
1,92,0.605114,0.031515,0.573599,19.310205,0.00000660
1,93,0.637393,0.039732,0.597661,19.011808,0.00000667
1,94,0.609423,0.024501,0.584922,18.763126,0.00000673
1,95,0.687054,0.035512,0.651542,19.658737,0.00000679
1,96,0.651871,0.027370,0.624501,16.666906,0.00000685
1,97,0.703053,0.031299,0.671754,19.150763,0.00000691
1,98,0.737284,0.036410,0.700874,15.337849,0.00000697
1,99,0.797521,0.040188,0.757333,15.811174,0.00000703
1,100,0.772475,0.034694,0.737780,16.873272,0.00000709
1,101,0.779048,0.025567,0.753481,15.436302,0.00000715
1,102,0.809011,0.032600,0.776411,13.025350,0.00000721
1,103,0.912775,0.045796,0.866979,13.098352,0.00000728
1,104,0.896220,0.034816,0.861404,12.349801,0.00000734
1,105,0.823653,0.025054,0.798599,12.599319,0.00000740
1,106,0.982449,0.042692,0.939757,11.239240,0.00000746
1,107,1.013019,0.035351,0.977668,10.534371,0.00000752
1,108,0.950924,0.032425,0.918499,9.843187,0.00000758
1,109,1.047627,0.024702,1.022925,10.830321,0.00000764
1,110,0.997261,0.028549,0.968711,12.016767,0.00000770
1,111,1.155355,0.041591,1.113764,10.595726,0.00000776
1,112,1.048285,0.024663,1.023622,9.214874,0.00000782
1,113,1.186331,0.044961,1.141371,9.544196,0.00000788
1,114,1.161122,0.032907,1.128215,9.498575,0.00000795
1,115,1.148434,0.026269,1.122165,9.469997,0.00000801
1,116,1.238595,0.026923,1.211672,9.407698,0.00000807
1,117,1.306183,0.030142,1.276041,9.552483,0.00000813
1,118,1.341725,0.039053,1.302673,8.935802,0.00000819
1,119,1.338373,0.024564,1.313810,8.347082,0.00000825
1,120,1.432712,0.026706,1.406006,8.014234,0.00000831
1,121,1.529485,0.037929,1.491556,7.947981,0.00000837
