Epoch,Step,Total_Loss,Recon_Loss,VQ_Loss,Perplexity
1,1,0.434380,0.261352,0.173027,23.649612
1,2,0.235320,0.194996,0.040323,4.317390
1,3,0.203387,0.170139,0.033249,6.145758
1,4,0.145007,0.122713,0.022294,5.815422
1,5,0.130985,0.113703,0.017283,6.080551
1,6,0.081466,0.067782,0.013684,6.930763
1,7,0.098155,0.086381,0.011774,7.644137
1,8,0.094983,0.082798,0.012185,8.616222
1,9,0.066899,0.058520,0.008378,7.020519
1,10,0.079326,0.072689,0.006637,7.426846
1,11,0.082450,0.074076,0.008373,8.239123
1,12,0.070365,0.063951,0.006413,7.773036
1,13,0.067705,0.061700,0.006005,7.191748
1,14,0.070149,0.063609,0.006540,8.165309
1,15,0.051798,0.046843,0.004955,7.541543
1,16,0.070807,0.065461,0.005347,8.117886
1,17,0.060010,0.054663,0.005347,8.997070
1,18,0.050887,0.045664,0.005223,8.460790
1,19,0.050814,0.046656,0.004157,8.783370
1,20,0.059848,0.055543,0.004305,8.788789
1,21,0.044530,0.040892,0.003638,8.614337
1,22,0.041009,0.037530,0.003479,8.126674
1,23,0.051560,0.047176,0.004383,9.272373
1,24,0.061963,0.057472,0.004491,9.171864
1,25,0.054296,0.050006,0.004289,9.386286
1,26,0.060598,0.056817,0.003780,8.504227
1,27,0.049920,0.046415,0.003506,8.619693
1,28,0.062335,0.058394,0.003941,8.959028
1,29,0.036468,0.033211,0.003257,8.018685
1,30,0.051789,0.047976,0.003813,8.607233
1,31,0.049272,0.046079,0.003192,6.852801
1,32,0.048708,0.044943,0.003765,8.052191
1,33,0.045664,0.042243,0.003421,7.200350
1,34,0.036542,0.033840,0.002702,6.270785
1,35,0.040078,0.037279,0.002800,6.395145
1,36,0.028370,0.025611,0.002759,6.032197
1,37,0.034044,0.030929,0.003115,6.187591
1,38,0.044007,0.039183,0.004824,7.783353
1,39,0.032829,0.029258,0.003571,6.999022
1,40,0.042468,0.038315,0.004153,7.402468
1,41,0.033974,0.029834,0.004140,7.329726
1,42,0.027836,0.024859,0.002976,6.243586
1,43,0.028172,0.024419,0.003753,6.665420
1,44,0.029125,0.025478,0.003646,6.896152
1,45,0.034490,0.031024,0.003466,6.929758
1,46,0.029188,0.026062,0.003126,7.579313
1,47,0.034701,0.031217,0.003483,7.587409
1,48,0.029039,0.025248,0.003791,7.935204
1,49,0.024072,0.020500,0.003573,7.655346
1,50,0.041487,0.037739,0.003747,9.076675
1,51,0.031981,0.028486,0.003496,9.128727
1,52,0.032230,0.029004,0.003225,8.619912
1,53,0.032825,0.029257,0.003568,8.422836
1,54,0.031666,0.029334,0.002332,7.366630
1,55,0.027630,0.024939,0.002691,7.410464
1,56,0.031466,0.028364,0.003101,7.934377
1,57,0.029051,0.026085,0.002966,8.080673
1,58,0.021890,0.019396,0.002494,7.161790
1,59,0.023204,0.020769,0.002435,7.557186
1,60,0.030473,0.027543,0.002930,7.505768
1,61,0.027256,0.024112,0.003144,8.074886
1,62,0.022278,0.019422,0.002856,7.626510
1,63,0.027844,0.024487,0.003357,8.544113
1,64,0.022310,0.019882,0.002428,7.349532
1,65,0.027735,0.024558,0.003177,8.767368
1,66,0.030253,0.027808,0.002445,7.728555
1,67,0.025913,0.023367,0.002546,7.499911
1,68,0.019894,0.018021,0.001873,6.874126
