Epoch,Step,Loss,LR,DiffUnknown,DiffKnown,X0Unknown,X0Boundary,LowFreq
1,1,3.585211,0.00005000,0.683917,0.704456,2.323467,2.341290,0.400581
1,2,2.600941,0.00005000,0.763998,0.857579,1.384654,1.443600,0.490220
1,3,2.410057,0.00005000,0.600645,0.715713,1.443278,1.445950,0.260143
1,4,2.940774,0.00005000,0.741634,0.855938,1.764948,1.762506,0.272321
1,5,3.712382,0.00005000,0.717342,0.770466,2.418673,2.416705,0.373849
1,6,2.192892,0.00005000,0.476907,0.500455,1.386668,1.384921,0.191386
1,7,1.993706,0.00005000,0.578270,0.615069,1.132244,1.130187,0.186977
1,8,2.288526,0.00005000,0.629300,0.679459,1.330480,1.325707,0.222996
1,9,1.627352,0.00005000,0.577543,0.628498,0.834132,0.832026,0.130208
1,10,2.609160,0.00005000,0.559310,0.615918,1.655885,1.649518,0.255730
1,11,1.673900,0.00005000,0.550595,0.606144,0.892589,0.891743,0.151584
1,12,4.097589,0.00005000,0.579742,0.645734,2.857079,2.848991,0.434356
1,13,1.300430,0.00005000,0.602410,0.662618,0.546875,0.541740,0.091822
2,14,1.487991,0.00005000,0.408171,0.462586,0.860314,0.859619,0.166727
2,15,2.065717,0.00005000,0.499516,0.579545,1.253267,1.253778,0.218607
2,16,1.420225,0.00005000,0.444668,0.502953,0.776894,0.769271,0.171727
2,17,3.054555,0.00005000,0.454183,0.536845,2.098529,2.087992,0.438880
2,18,2.098578,0.00005000,0.425763,0.482017,1.346456,1.344310,0.234084
2,19,2.218958,0.00005000,0.381073,0.448534,1.467536,1.470444,0.343382
2,20,2.482593,0.00005000,0.365127,0.434054,1.695579,1.698157,0.389936
2,21,2.444754,0.00005000,0.328983,0.398799,1.693338,1.694517,0.417639
2,22,1.866504,0.00005000,0.337151,0.400182,1.230358,1.222583,0.271269
2,23,1.507626,0.00005000,0.434912,0.514232,0.848721,0.850941,0.175446
2,24,1.067408,0.00005000,0.441177,0.483284,0.494707,0.487133,0.106616
2,25,1.701036,0.00005000,0.367026,0.438941,1.064888,1.061693,0.249282
2,26,1.161873,0.00005000,0.398915,0.464614,0.604451,0.601129,0.118056
3,27,2.029942,0.00004999,0.346462,0.412495,1.342745,1.347368,0.312921
3,28,2.093648,0.00004999,0.386352,0.479022,1.365090,1.361395,0.326210
3,29,1.966678,0.00004999,0.375824,0.487625,1.292376,1.268877,0.260805
3,30,1.256363,0.00004999,0.377768,0.471940,0.700601,0.691789,0.153920
3,31,1.400353,0.00004999,0.377893,0.460433,0.827691,0.808141,0.171725
3,32,2.315134,0.00004999,0.352904,0.476905,1.578101,1.571175,0.343926
3,33,1.434942,0.00004999,0.415721,0.518764,0.813042,0.806360,0.162093
3,34,1.833726,0.00004999,0.403592,0.515063,1.147988,1.135579,0.261360
3,35,1.826465,0.00004999,0.350890,0.450864,1.189726,1.178563,0.243493
3,36,1.327284,0.00004999,0.353297,0.466313,0.779326,0.764853,0.199686
3,37,2.089576,0.00004999,0.367467,0.481246,1.372323,1.371915,0.344443
3,38,2.431599,0.00004999,0.403024,0.511367,1.638496,1.627988,0.315469
3,39,1.259599,0.00004999,0.474272,0.575132,0.625966,0.613345,0.120212
4,40,1.261535,0.00004999,0.297519,0.402408,0.787449,0.760883,0.170156
4,41,1.739193,0.00004999,0.379156,0.469959,1.095645,1.077790,0.264136
4,42,1.562786,0.00004999,0.324812,0.427015,0.991977,0.987101,0.207518
4,43,1.060161,0.00004999,0.448261,0.535477,0.487010,0.473295,0.096198
4,44,1.385405,0.00004999,0.287056,0.383358,0.873898,0.868289,0.240753
4,45,1.726912,0.00004999,0.330875,0.442777,1.129957,1.111292,0.244092
4,46,1.763225,0.00004999,0.357994,0.486137,1.129011,1.114910,0.268079
4,47,1.477557,0.00004999,0.375073,0.463827,0.885102,0.870131,0.214274
4,48,1.361668,0.00004999,0.428880,0.518763,0.742662,0.732030,0.175250
4,49,1.319942,0.00004999,0.307450,0.421105,0.829280,0.796432,0.194329
4,50,1.220393,0.00004999,0.367895,0.459514,0.679661,0.669720,0.159137
4,51,0.842018,0.00004999,0.359312,0.420420,0.384184,0.373841,0.073381
4,52,1.031745,0.00004999,0.384811,0.464876,0.515205,0.506282,0.095788
5,53,1.980654,0.00004998,0.366099,0.478303,1.301868,1.279592,0.337829
5,54,0.864663,0.00004998,0.386212,0.438543,0.375073,0.370127,0.075882
5,55,1.008426,0.00004998,0.398533,0.474862,0.483118,0.472886,0.110932
5,56,1.544641,0.00004998,0.309286,0.403027,0.995717,0.982959,0.220678
5,57,1.644613,0.00004998,0.346382,0.428593,1.032154,1.026055,0.295441
5,58,1.803166,0.00004998,0.340550,0.462552,1.175663,1.141329,0.420178
5,59,1.051594,0.00004998,0.374672,0.480740,0.545578,0.526704,0.113773
5,60,1.522476,0.00004998,0.353510,0.433818,0.919937,0.915290,0.319987
5,61,2.219116,0.00004998,0.418566,0.504523,1.432329,1.408944,0.532762
5,62,1.584961,0.00004998,0.314477,0.425817,1.010515,0.992463,0.364185
5,63,1.232064,0.00004998,0.354512,0.439865,0.703262,0.683964,0.206283
5,64,0.903195,0.00004998,0.343287,0.414964,0.448530,0.433542,0.106084
5,65,1.140458,0.00004998,0.334253,0.439874,0.643665,0.628736,0.178284
6,66,0.992355,0.00004997,0.336754,0.408431,0.528614,0.512791,0.111105
6,67,1.749445,0.00004997,0.329494,0.427403,1.136766,1.118775,0.349682
6,68,1.112588,0.00004997,0.292806,0.353192,0.658584,0.638746,0.211069
6,69,0.756692,0.00004997,0.288061,0.344854,0.374392,0.365266,0.074964
6,70,1.188000,0.00004997,0.424675,0.509356,0.613042,0.594006,0.141620
6,71,1.029047,0.00004997,0.356941,0.416549,0.532925,0.520027,0.164448
6,72,1.571421,0.00004997,0.351189,0.474488,0.978523,0.959884,0.272789
6,73,0.787743,0.00004997,0.321474,0.387472,0.370352,0.360461,0.082420
6,74,0.711846,0.00004997,0.329129,0.369626,0.300705,0.294452,0.064284
6,75,1.067751,0.00004997,0.357127,0.426359,0.571189,0.553376,0.144612
6,76,1.022013,0.00004997,0.426404,0.499341,0.471148,0.462434,0.093183
6,77,1.166378,0.00004997,0.372295,0.466874,0.639398,0.618809,0.160335
6,78,0.976008,0.00004997,0.382958,0.476833,0.466182,0.463429,0.083618
7,79,1.042425,0.00004995,0.334454,0.423188,0.579770,0.550812,0.133637
7,80,1.108501,0.00004995,0.282283,0.364519,0.677661,0.649433,0.153509
7,81,1.742423,0.00004995,0.278756,0.364014,1.191038,1.159516,0.318284
7,82,1.144112,0.00004995,0.335631,0.432638,0.655010,0.632493,0.155699
7,83,1.015256,0.00004995,0.334006,0.436044,0.556769,0.531537,0.110376
7,84,0.999483,0.00004995,0.330337,0.425496,0.544843,0.521810,0.113948
7,85,1.572043,0.00004995,0.335654,0.425486,0.997297,0.985975,0.197871
7,86,1.107475,0.00004995,0.365215,0.466313,0.599355,0.577833,0.141603
7,87,1.789378,0.00004995,0.345162,0.454307,1.174110,1.147487,0.261280
7,88,1.148885,0.00004995,0.346191,0.428241,0.646475,0.630023,0.146427
7,89,1.631044,0.00004995,0.330175,0.432710,1.043592,1.031952,0.257089
7,90,0.909100,0.00004995,0.423371,0.479400,0.387136,0.374747,0.063902
