file,rel_path,porosity,scale_factor,orig_peak,clip_ratio,status
6-6-20 全部_z3840_y595_x528.npy,6-6-20 全部_z3840_y595_x528.npy,0.0003972649574279785,0.9381868868278561,37306,0.0,ok
6-6-20 全部_z3776_y553_x494.npy,6-6-20 全部_z3776_y553_x494.npy,0.0004393458366394043,0.960166794688906,36452,0.0,ok
6-6-20 全部_z3840_y595_x464.npy,6-6-20 全部_z3840_y595_x464.npy,0.0006423592567443848,0.9381868868278561,37306,0.0,ok
6-6-20 全部_z3776_y617_x494.npy,6-6-20 全部_z3776_y617_x494.npy,0.0007058978080749512,0.9282588516111921,37705,0.0,ok
6-6-20 全部_z3776_y617_x430.npy,6-6-20 全部_z3776_y617_x430.npy,0.0010612010955810547,0.8669589556860122,40371,0.0,ok
6-6-20 全部_z3840_y595_x400.npy,6-6-20 全部_z3840_y595_x400.npy,0.0011888742446899414,0.8803481147973942,39757,0.0,ok
6-6-20 全部_z4288_y513_x475.npy,6-6-20 全部_z4288_y513_x475.npy,0.001441657543182373,0.9470978216750101,36955,0.0,ok
6-6-20 全部_z4288_y513_x411.npy,6-6-20 全部_z4288_y513_x411.npy,0.0014529228210449219,0.9449499176543643,37039,0.0,ok
6-6-20 全部_z704_y449_x248.npy,6-6-20 全部_z704_y449_x248.npy,0.001478433609008789,0.9377846846364075,37322,0.0,ok
6-6-20 全部_z4224_y445_x454.npy,6-6-20 全部_z4224_y445_x454.npy,0.0015492439270019531,0.9704968944099379,36064,0.0,ok
6-6-20 全部_z3776_y553_x430.npy,6-6-20 全部_z3776_y553_x430.npy,0.0016385912895202637,0.9153916568588989,38235,0.0,ok
6-6-20 全部_z3840_y595_x592.npy,6-6-20 全部_z3840_y595_x592.npy,0.001972198486328125,0.7898894154818326,44310,0.0,ok
6-6-20 全部_z704_y385_x376.npy,6-6-20 全部_z704_y385_x376.npy,0.002127230167388916,1.0033540693174325,34883,0.0,ok
6-6-20 全部_z3840_y595_x336.npy,6-6-20 全部_z3840_y595_x336.npy,0.0023850202560424805,0.8062844110668295,43409,0.0,ok
6-6-20 全部_z704_y385_x312.npy,6-6-20 全部_z704_y385_x312.npy,0.0024328231811523438,0.9285051067780873,37695,0.0,ok
6-6-20 全部_z704_y385_x440.npy,6-6-20 全部_z704_y385_x440.npy,0.0026129484176635742,1.0033540693174325,34883,0.0,ok
6-6-20 全部_z704_y321_x376.npy,6-6-20 全部_z704_y321_x376.npy,0.002634704113006592,0.9440832951204381,37073,0.0,ok
6-6-20 全部_z4224_y509_x326.npy,6-6-20 全部_z4224_y509_x326.npy,0.002702057361602783,0.9160864785635764,38206,0.0,ok
6-6-20 全部_z704_y385_x248.npy,6-6-20 全部_z704_y385_x248.npy,0.0027501583099365234,0.8887308922858158,39382,0.0,ok
6-6-20 全部_z704_y321_x440.npy,6-6-20 全部_z704_y321_x440.npy,0.002811133861541748,0.9805294859223981,35695,0.0,ok
6-6-20 全部_z1472_y326_x536.npy,6-6-20 全部_z1472_y326_x536.npy,0.0028832554817199707,0.851188015272745,41119,0.0,ok
6-6-20 全部_z1536_y297_x479.npy,6-6-20 全部_z1536_y297_x479.npy,0.0029335618019104004,0.8672811973436416,40356,0.0,ok
6-6-20 全部_z4224_y445_x518.npy,6-6-20 全部_z4224_y445_x518.npy,0.0030843019485473633,0.9666639047697959,36207,0.0,ok
6-6-20 全部_z704_y449_x312.npy,6-6-20 全部_z704_y449_x312.npy,0.00312882661819458,0.9871946747898686,35454,0.0,ok
6-6-20 全部_z3840_y403_x272.npy,6-6-20 全部_z3840_y403_x272.npy,0.003212869167327881,0.9611951775464807,36413,0.0,ok
6-6-20 全部_z4224_y445_x390.npy,6-6-20 全部_z4224_y445_x390.npy,0.0032346248626708984,0.9641076495055505,36303,0.0,ok
6-6-20 全部_z4288_y513_x539.npy,6-6-20 全部_z4288_y513_x539.npy,0.0032387375831604004,0.9178161220957676,38134,0.0,ok
6-6-20 全部_z1024_y319_x444.npy,6-6-20 全部_z1024_y319_x444.npy,0.0034122467041015625,0.9286036454325967,37691,0.0,ok
6-6-20 全部_z4288_y513_x347.npy,6-6-20 全部_z4288_y513_x347.npy,0.0035709738731384277,0.894043118422397,39148,0.0,ok
6-6-20 全部_z4224_y509_x262.npy,6-6-20 全部_z4224_y509_x262.npy,0.0035744905471801758,0.8537210039759007,40997,0.0,ok
6-6-20 全部_z4288_y449_x347.npy,6-6-20 全部_z4288_y449_x347.npy,0.0038782358169555664,0.9525623928367308,36743,0.0,ok
6-6-20 全部_z4224_y509_x390.npy,6-6-20 全部_z4224_y509_x390.npy,0.003880798816680908,0.9408349237923712,37201,0.0,ok
6-6-20 全部_z3904_y311_x333.npy,6-6-20 全部_z3904_y311_x333.npy,0.004001140594482422,0.9602458229306703,36449,0.0,ok
6-6-20 全部_z1088_y319_x317.npy,6-6-20 全部_z1088_y319_x317.npy,0.004050850868225098,0.8801931395231868,39764,0.0,ok
6-6-20 全部_z4288_y577_x475.npy,6-6-20 全部_z4288_y577_x475.npy,0.004072129726409912,0.9272505695967784,37746,0.0,ok
6-6-20 全部_z4288_y577_x411.npy,6-6-20 全部_z4288_y577_x411.npy,0.004244029521942139,0.9018759018759018,38808,0.0,ok
6-6-20 全部_z3840_y467_x272.npy,6-6-20 全部_z3840_y467_x272.npy,0.004338562488555908,0.9108179144872095,38427,0.0,ok
6-6-20 全部_z4160_y508_x260.npy,6-6-20 全部_z4160_y508_x260.npy,0.004354536533355713,0.9009472817133443,38848,0.0,ok
6-6-20 全部_z4160_y508_x324.npy,6-6-20 全部_z4160_y508_x324.npy,0.004364907741546631,0.923141847338714,37914,0.0,ok
6-6-20 全部_z1472_y326_x472.npy,6-6-20 全部_z1472_y326_x472.npy,0.004386484622955322,0.8907892392659896,39291,0.0,ok
6-6-20 全部_z768_y449_x249.npy,6-6-20 全部_z768_y449_x249.npy,0.0044324398040771484,0.9278405174699115,37722,0.0,ok
6-6-20 全部_z640_y338_x449.npy,6-6-20 全部_z640_y338_x449.npy,0.004466831684112549,1.0029802842732691,34896,0.0,ok
6-6-20 全部_z3904_y439_x269.npy,6-6-20 全部_z3904_y439_x269.npy,0.004479885101318359,0.918828100388533,38092,0.0,ok
6-6-20 全部_z3968_y440_x267.npy,6-6-20 全部_z3968_y440_x267.npy,0.004604339599609375,0.9358288770053476,37400,0.0,ok
6-6-20 全部_z1088_y383_x253.npy,6-6-20 全部_z1088_y383_x253.npy,0.004609525203704834,0.8666798732171157,40384,0.0,ok
6-6-20 全部_z3904_y375_x269.npy,6-6-20 全部_z3904_y375_x269.npy,0.004653215408325195,0.918828100388533,38092,0.0,ok
6-6-20 全部_z1024_y383_x444.npy,6-6-20 全部_z1024_y383_x444.npy,0.004748642444610596,0.9542505043895523,36678,0.0,ok
6-6-20 全部_z4288_y449_x411.npy,6-6-20 全部_z4288_y449_x411.npy,0.004751443862915039,0.9673585583593599,36181,0.0,ok
6-6-20 全部_z1088_y383_x381.npy,6-6-20 全部_z1088_y383_x381.npy,0.004782497882843018,0.9570162966203654,36572,0.0,ok
6-6-20 全部_z1088_y319_x381.npy,6-6-20 全部_z1088_y319_x381.npy,0.0047872066497802734,0.8932217231523071,39184,0.0,ok
6-6-20 全部_z4224_y573_x326.npy,6-6-20 全部_z4224_y573_x326.npy,0.004839003086090088,0.7907460123808233,44262,0.0,ok
6-6-20 全部_z1024_y319_x380.npy,6-6-20 全部_z1024_y319_x380.npy,0.004947960376739502,0.8999742864489586,38890,0.0,ok
6-6-20 全部_z3840_y403_x336.npy,6-6-20 全部_z3840_y403_x336.npy,0.0049762725830078125,0.9899309876682882,35356,0.0,ok
6-6-20 全部_z6976_y492_x615.npy,6-6-20 全部_z6976_y492_x615.npy,0.005050241947174072,0.9802823213085369,35704,0.0,ok
6-6-20 全部_z3968_y376_x267.npy,6-6-20 全部_z3968_y376_x267.npy,0.005109548568725586,0.9241656104773975,37872,0.0,ok
6-6-20 全部_z4352_y577_x495.npy,6-6-20 全部_z4352_y577_x495.npy,0.005114853382110596,0.9018759018759018,38808,0.0,ok
6-6-20 全部_z3840_y339_x336.npy,6-6-20 全部_z3840_y339_x336.npy,0.0051462650299072266,0.96931427938407,36108,0.0,ok
6-6-20 全部_z1088_y447_x317.npy,6-6-20 全部_z1088_y447_x317.npy,0.005150139331817627,0.9454859797936139,37018,0.0,ok
6-6-20 全部_z1088_y383_x317.npy,6-6-20 全部_z1088_y383_x317.npy,0.0051569342613220215,0.8801931395231868,39764,0.0,ok
6-6-20 全部_z1408_y700_x403.npy,6-6-20 全部_z1408_y700_x403.npy,0.0052269697189331055,0.858790332474543,40755,0.0,ok
6-6-20 全部_z4224_y445_x326.npy,6-6-20 全部_z4224_y445_x326.npy,0.00524669885635376,0.9469184567934635,36962,0.0,ok
6-6-20 全部_z4224_y573_x390.npy,6-6-20 全部_z4224_y573_x390.npy,0.005288362503051758,0.9254607472434491,37819,0.0,ok
6-6-20 全部_z4288_y577_x347.npy,6-6-20 全部_z4288_y577_x347.npy,0.0052901506423950195,0.8184262831754939,42765,0.0,ok
6-6-20 全部_z1536_y361_x479.npy,6-6-20 全部_z1536_y361_x479.npy,0.00541156530380249,0.8672811973436416,40356,0.0,ok
6-6-20 全部_z3968_y312_x331.npy,6-6-20 全部_z3968_y312_x331.npy,0.005433976650238037,0.9241656104773975,37872,0.0,ok
6-6-20 全部_z640_y338_x385.npy,6-6-20 全部_z640_y338_x385.npy,0.005512237548828125,0.988616783888371,35403,0.0,ok
6-6-20 全部_z768_y321_x441.npy,6-6-20 全部_z768_y321_x441.npy,0.005557715892791748,0.9805294859223981,35695,0.0,ok
6-6-20 全部_z768_y385_x377.npy,6-6-20 全部_z768_y385_x377.npy,0.005565166473388672,0.9871946747898686,35454,0.0,ok
