file,rel_path,porosity,shift,target_peak,offset,status
6-6-20 全部_z1024_y1040_x1024.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1040_x1024.npy,0.005629539489746094,5,149,28,ok
6-6-20 全部_z1024_y1040_x1088.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1040_x1088.npy,0.009626150131225586,-7,149,28,ok
6-6-20 全部_z1024_y1040_x704.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1040_x704.npy,0.018744707107543945,-5,149,28,ok
6-6-20 全部_z1024_y1040_x768.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1040_x768.npy,0.018355846405029297,2,149,28,ok
6-6-20 全部_z1024_y1040_x832.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1040_x832.npy,0.016557157039642334,5,149,28,ok
6-6-20 全部_z1024_y1040_x896.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1040_x896.npy,0.013824820518493652,5,149,28,ok
6-6-20 全部_z1024_y1040_x960.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1040_x960.npy,0.011298537254333496,5,149,28,ok
6-6-20 全部_z1024_y1104_x1024.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1104_x1024.npy,0.009613573551177979,-6,149,28,ok
6-6-20 全部_z1024_y1104_x768.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1104_x768.npy,0.029872417449951172,-7,149,28,ok
6-6-20 全部_z1024_y1104_x832.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1104_x832.npy,0.01890796422958374,1,149,28,ok
6-6-20 全部_z1024_y1104_x896.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1104_x896.npy,0.01694256067276001,2,149,28,ok
6-6-20 全部_z1024_y1104_x960.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1104_x960.npy,0.01361989974975586,2,149,28,ok
6-6-20 全部_z1024_y1168_x832.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1168_x832.npy,0.02293461561203003,-7,149,28,ok
6-6-20 全部_z1024_y1168_x896.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1168_x896.npy,0.020840764045715332,-6,149,28,ok
6-6-20 全部_z1024_y1168_x960.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y1168_x960.npy,0.017159759998321533,-7,149,28,ok
6-6-20 全部_z1024_y720_x896.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y720_x896.npy,0.0019093155860900879,-2,149,28,ok
6-6-20 全部_z1024_y784_x832.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y784_x832.npy,0.0047228336334228516,5,149,28,ok
6-6-20 全部_z1024_y784_x896.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y784_x896.npy,0.003605484962463379,2,149,28,ok
6-6-20 全部_z1024_y784_x960.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y784_x960.npy,0.008600234985351562,5,149,28,ok
6-6-20 全部_z1024_y848_x1024.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y848_x1024.npy,0.012593984603881836,5,149,28,ok
6-6-20 全部_z1024_y848_x768.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y848_x768.npy,0.011097371578216553,5,149,28,ok
6-6-20 全部_z1024_y848_x832.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y848_x832.npy,0.008227050304412842,6,149,28,ok
6-6-20 全部_z1024_y848_x896.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y848_x896.npy,0.004675090312957764,5,149,28,ok
6-6-20 全部_z1024_y848_x960.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y848_x960.npy,0.009580492973327637,6,149,28,ok
6-6-20 全部_z1024_y912_x1024.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y912_x1024.npy,0.012854218482971191,5,149,28,ok
6-6-20 全部_z1024_y912_x1088.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y912_x1088.npy,0.012504220008850098,3,149,28,ok
6-6-20 全部_z1024_y912_x704.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y912_x704.npy,0.016622841358184814,-2,149,28,ok
6-6-20 全部_z1024_y912_x768.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y912_x768.npy,0.014264881610870361,5,149,28,ok
6-6-20 全部_z1024_y912_x832.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y912_x832.npy,0.011738955974578857,6,149,28,ok
6-6-20 全部_z1024_y912_x896.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y912_x896.npy,0.008189558982849121,5,149,28,ok
6-6-20 全部_z1024_y912_x960.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y912_x960.npy,0.012763559818267822,5,149,28,ok
6-6-20 全部_z1024_y976_x1024.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y976_x1024.npy,0.0132254958152771,5,149,28,ok
6-6-20 全部_z1024_y976_x1088.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y976_x1088.npy,0.013304591178894043,3,149,28,ok
6-6-20 全部_z1024_y976_x640.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y976_x640.npy,0.016063153743743896,-5,149,28,ok
6-6-20 全部_z1024_y976_x704.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1024_y976_x704.npy,0.015275299549102783,0,149,28,ok
